"year","lat","lon","depth","basin","x","y"
2016,35.461441339027,-76.175495507267,1.92333333333333,"east",393337.277525787,3924851.94205742
2016,35.4634882416906,-76.1756376643443,3.50666666666667,"east",393327.080796431,3925079.12248665
2016,35.4649489559563,-76.1754815094882,2.00666666666667,"east",393343.179093144,3925240.96513666
2016,35.4674087930801,-76.1751851253921,1.92333333333333,"east",393373.319950666,3925513.47155525
2016,35.4703774536359,-76.1753393524104,2.59,"east",393363.245829161,3925842.89968439
2016,35.4731192998918,-76.1763380561733,2.84,"east",393276.254430812,3926148.08412826
2016,35.4717557318839,-76.1771410424972,2.75666666666667,"east",393201.596422079,3925997.71573053
2016,35.4690820305007,-76.1765632779116,2.67333333333333,"east",393250.483492891,3925700.5438074
2016,35.4650377203109,-76.1767373700404,1.75666666666667,"east",393229.341168236,3925252.16759103
2016,35.4636162333521,-76.17670191459,2.34,"east",393230.67945113,3925094.46867305
2016,35.4621383780944,-76.1770822015369,1.67333333333333,"east",393194.218137171,3924930.96747777
2016,35.4623426869842,-76.1784931272978,1.67333333333333,"east",393066.458419121,3924955.15497926
2016,35.4628354171621,-76.1819827650452,2.42333333333333,"east",392750.456741779,3925013.58976283
2016,35.4623967083501,-76.1862433702463,2.59,"east",392363.25956905,3924969.5677195
2016,35.4623388313087,-76.19071151137,2.75666666666667,"east",391957.735064166,3924968.02842395
2016,35.4619978973972,-76.1950040516222,2.50666666666667,"east",391567.764192145,3924934.92003801
2016,35.4622808285388,-76.1980645359272,2.67333333333333,"east",391290.429492599,3924969.66592921
2016,35.4621419404032,-76.1987973657215,2.42333333333333,"east",391223.744016022,3924955.06855694
2016,35.4618236795398,-76.2000787072593,2.34,"east",391107.043271352,3924921.18174314
2016,35.4616381880226,-76.2008209247852,1.92333333333333,"east",391039.442363031,3924901.42717317
2016,35.4655104596498,-76.2018713448906,2.17333333333333,"east",390949.352061867,3925332.07113874
2016,35.4655892076301,-76.2042484526301,1.92333333333333,"east",390733.763534051,3925343.43348773
2016,35.4657159420061,-76.2060627155716,3.00666666666667,"east",390569.311959982,3925359.49934914
2016,35.4649269534605,-76.2086208724195,2.92333333333333,"east",390336.118060004,3925274.82880104
2016,35.4650076292786,-76.2094019819761,2.67333333333333,"east",390265.350433646,3925284.64467012
2016,35.4652453400525,-76.2107769493723,2.17333333333333,"east",390140.910460177,3925312.53893617
2016,35.4664592491793,-76.2113645207847,2.09,"east",390089.246791305,3925447.83110118
2016,35.4680926306503,-76.2115410436654,2.25666666666667,"east",390075.452640343,3925629.19078717
2016,35.4685136536467,-76.2115203403646,2.84,"east",390077.904199032,3925675.86464416
2016,35.4688449483695,-76.2115467433596,1.75666666666667,"east",390075.959440295,3925712.63892518
2016,35.4726447584438,-76.2116221804881,2.75666666666667,"east",390074.287129843,3926134.17129678
2016,35.4780934984195,-76.2119609770143,3.17333333333333,"east",390050.967919571,3926738.88524922
2016,35.4858341021794,-76.2125411723519,2.84,"east",390008.877792905,3927598.06701283
2016,35.4924615891981,-76.2136240304226,2.92333333333333,"east",389919.686183102,3928334.3513797
2016,35.4931783257383,-76.2137959432567,4.17333333333333,"east",389905.070203779,3928414.03890285
2016,35.4936164478171,-76.2138109468633,2.75666666666667,"east",389904.307066474,3928462.64927094
2016,35.4976337682786,-76.2141326443071,2.59,"east",389880.610109895,3928908.58329498
2016,35.5002777139055,-76.2143922318483,2.84,"east",389860.67467426,3929202.12246567
2016,35.50222415946,-76.2144661602343,2.84,"east",389856.627210919,3929418.09226424
2016,35.5069404887366,-76.2147387397254,2.84,"east",389838.346945146,3929941.50194355
2016,35.5072685983363,-76.2147517316753,3.42333333333333,"east",389837.616871464,3929977.90830158
2016,35.5126229161727,-76.2155666203017,5.50666666666667,"east",389771.032626233,3930572.6862708
2016,35.5130897462699,-76.2155492697621,2.75666666666667,"east",389773.244261486,3930624.44477892
2016,35.5190653307694,-76.2161738891864,2.67333333333333,"east",389724.77450981,3931287.91832115
2016,35.5229875585395,-76.2171906978602,2.92333333333333,"east",389637.942258182,3931724.08585175
2016,35.523409000631,-76.2175848987663,2.67333333333333,"east",389602.775755531,3931771.2710227
2016,35.5270690005604,-76.2184135337139,1.92333333333333,"east",389532.657344116,3932178.14466426
2016,35.5307027232233,-76.213482376259,2.25666666666667,"east",389984.72326013,3932575.66105306
2016,35.5312130973074,-76.2088260614092,2.59,"east",390407.58318066,3932627.08183252
2016,35.5335583957243,-76.2013136130536,2.25666666666667,"east",391091.866209867,3932878.88173061
2016,35.5356163625005,-76.1949604657257,1.84,"east",391670.62150666,3933100.13768894
2016,35.5361779919225,-76.1839734670484,1.84,"east",392667.444926957,3933150.40978766
2016,35.5374286976043,-76.1811884120816,2.09,"east",392921.59692017,3933286.10090122
2016,35.5374430306587,-76.1740078032726,2.67333333333333,"east",393572.590276137,3933279.91292586
2016,35.5394295417103,-76.166849322688,2.75666666666667,"east",394224.166451373,3933492.53752953
2016,35.543491956811,-76.1600917485321,3.34,"east",394842.077341827,3933935.88270725
2016,35.5450537568289,-76.1565355584735,2.59,"east",395166.479804959,3934105.31847044
2016,35.5485946918237,-76.1544925533944,1.67333333333333,"east",395356.276374537,3934495.88475464
2016,35.5483279796648,-76.1535851285571,2.17333333333333,"east",395438.183079365,3934465.33940513
2016,35.5560829164791,-76.1431230046564,2.17333333333333,"east",396396.498400195,3935314.41499483
2016,35.5602313299063,-76.1360645201766,1.84,"east",397041.55639727,3935767.13009192
2016,35.5609069532115,-76.1294630170577,2.09,"east",397640.717274025,3935835.18587416
